dataset,original_name,mapping_name
OEDI_Georgia,32988.674999999996_OEDI_Georgia.csv,01_32988.674999999996_OEDI_Georgia.csv
OEDI_California,719.2826666666666_OEDI_California.csv,01_719.2826666666666_OEDI_California.csv
UK,2.668_Forest Road.csv,01_2.668_Forest Road.csv
UK,3.347_Maple Drive East.csv,02_3.347_Maple Drive East.csv
UK,0.356_YMCA.csv,03_0.356_YMCA.csv
DKASC_AliceSprings,1.8048249483108585_100-Site_DKA-M1_A-Phase.csv,01_1.8048249483108585_100-Site_DKA-M1_A-Phase.csv
DKASC_AliceSprings,5.5049305359522505_56-Site_DKA-M20_A-Phase.csv,02_5.5049305359522505_56-Site_DKA-M20_A-Phase.csv
DKASC_AliceSprings,4.0456333955129_99-Site_DKA-M4_C-Phase.csv,03_4.0456333955129_99-Site_DKA-M4_C-Phase.csv
DKASC_AliceSprings,5.5889055331548_59-Site_DKA-M19_C-Phase.csv,04_5.5889055331548_59-Site_DKA-M19_C-Phase.csv
DKASC_AliceSprings,4.606877764066067_70-Site_DKA-M5_A-Phase.csv,05_4.606877764066067_70-Site_DKA-M5_A-Phase.csv      
DKASC_AliceSprings,5.588966925938926_55-Site_DKA-M20_B-Phase.csv,06_5.588966925938926_55-Site_DKA-M20_B-Phase.csv
DKASC_AliceSprings,4.681516726811734_106-Site_DKA-M5_C-Phase.csv,07_4.681516726811734_106-Site_DKA-M5_C-Phase.csv     
DKASC_AliceSprings,5.641808271408075_60-Site_DKA-M18_A-Phase.csv,08_5.641808271408075_60-Site_DKA-M18_A-Phase.csv
DKASC_AliceSprings,4.713372310002634_74-Site_DKA-M18_C-Phase.csv,09_4.713372310002634_74-Site_DKA-M18_C-Phase.csv     
DKASC_AliceSprings,5.648005247116092_64-Site_DKA-M17_B-Phase.csv,10_5.648005247116092_64-Site_DKA-M17_B-Phase.csv
DKASC_AliceSprings,4.722724914550775_84-Site_DKA-M5_B-Phase.csv,11_4.722724914550775_84-Site_DKA-M5_B-Phase.csv      
DKASC_AliceSprings,5.651080489158642_54-Site_DKA-M15_C-Phase.csv,12_5.651080489158642_54-Site_DKA-M15_C-Phase.csv
DKASC_AliceSprings,5.0178333123525_214-Site_DKA-M18_B-Phase_II.csv,13_5.0178333123525_214-Site_DKA-M18_B-Phase_II.csv   
DKASC_AliceSprings,5.675088723500576_212-Site_DKA-M15_C-Phase_II.csv,14_5.675088723500576_212-Site_DKA-M15_C-Phase_II.csv
DKASC_AliceSprings,5.106038808822617_92-Site_DKA-M6_B-Phase.csv,15_5.106038808822617_92-Site_DKA-M6_B-Phase.csv      
DKASC_AliceSprings,5.858203013738009_205-Site_Archived_DKA-M15_BPhase_UMG_QCells.csv,16_5.858203013738009_205-Site_Archived_DKA-M15_BPhase_UMG_QCells.csv
DKASC_AliceSprings,5.1098860502243_58-Site_DKA-M17_C-Phase.csv,17_5.1098860502243_58-Site_DKA-M17_C-Phase.csv       
DKASC_AliceSprings,6.012480338414508_93-Site_DKA-M4_A-Phase.csv,18_6.012480338414508_93-Site_DKA-M4_A-Phase.csv
DKASC_AliceSprings,5.1862111488978_52-Site_DKA-M16_C-Phase.csv,19_5.1862111488978_52-Site_DKA-M16_C-Phase.csv       
DKASC_AliceSprings,6.012586116790767_213-Site_DKA-M16_A-Phase_II.csv,20_6.012586116790767_213-Site_DKA-M16_A-Phase_II.csv
DKASC_AliceSprings,5.252291798591625_63-Site_DKA-M17_A-Phase.csv,21_5.252291798591625_63-Site_DKA-M17_A-Phase.csv     
DKASC_AliceSprings,6.107803106308_66-Site_DKA-M16_B-Phase.csv,22_6.107803106308_66-Site_DKA-M16_B-Phase.csv
DKASC_AliceSprings,5.279052972793592_77-Site_DKA-M18_B-Phase.csv,23_5.279052972793592_77-Site_DKA-M18_B-Phase.csv     
